,Well_ID,X,Y,earliest,gamma_mean,mean_perm,cumulative_3y,is_before_cutoff,above_line
0,1,33.0,127.0,2019-01-01,34.50313042578947,884.3293154277777,2882681.25,True,1
1,2,71.0,53.0,2019-01-01,28.11443074055556,1234.2710812238097,3972052.5,True,1
2,3,58.0,186.0,2019-01-01,26.777931617,1555.8993305714284,5067011.0,True,1
3,4,80.0,95.0,2019-01-01,44.72699868800001,795.6718972174762,2633379.5,True,1
4,5,26.0,141.0,2019-01-01,31.695925969047625,1026.9387461333336,3362580.5,True,1
5,6,64.0,30.0,2019-04-01,25.511520197368423,1723.1274753500002,5507770.0,True,1
6,7,43.0,174.0,2019-04-01,27.907179702631574,1417.0984579849999,4680746.0,True,1
7,8,82.0,66.0,2019-04-01,41.886625286249995,810.8977139092858,2620014.5,True,1
8,9,55.0,111.0,2019-04-01,35.534346240000005,854.7587110263157,2801347.75,True,1
9,10,21.0,188.0,2019-04-01,27.018526152649997,1563.991175225,5159493.0,True,1
10,11,77.0,20.0,2019-04-01,35.63554181235293,1511.4803142079,4640349.5,True,1
11,12,40.0,162.0,2019-04-01,28.6423526445,1299.4010866921055,4263018.0,True,1
12,13,68.0,87.0,2019-04-01,35.41194518588235,830.669487295238,2758969.25,True,1
13,14,52.0,133.0,2019-04-01,31.645402579523815,975.6863770476191,3245631.25,True,1
14,15,84.0,58.0,2019-04-01,47.72556142222223,854.6727043011,2621840.5,True,1
15,16,30.0,100.0,2019-04-01,37.24425639842105,662.49443303,2270212.0,True,1
16,17,75.0,146.0,2019-04-01,32.78054406222222,1072.9162631460001,3480298.75,True,1
17,18,47.0,25.0,2019-04-01,27.58402380529412,1725.935651404762,5619490.0,True,1
18,19,63.0,170.0,2019-04-01,25.046556212999995,1416.6759395263155,4410849.0,True,1
19,20,24.0,73.0,2019-04-01,34.429105750000005,711.1730070649999,2397890.5,True,1
20,21,70.0,192.0,2019-08-01,26.566997813500002,1517.8141115789472,2560803.0,False,0
21,22,57.0,43.0,2019-08-01,26.424558903500003,1414.5455676833333,2400820.25,False,0
22,23,81.0,155.0,2019-08-01,46.26835728444445,961.3449918808999,1629373.5,False,0
23,24,36.0,118.0,2019-08-01,33.84690910842105,769.003250815,1315493.125,False,0
24,25,59.0,97.0,2019-08-01,34.12410194800001,743.4268582349999,1355874.875,False,0
25,26,28.0,166.0,2019-08-01,32.1345558,1369.4982166952382,2263344.0,False,0
26,27,73.0,32.0,2019-08-01,27.981985253157895,1602.0382486,2444452.75,False,0
