Well_ID,Mean_Youngs_Modulus_Velocities,Variance_Youngs_Modulus_Velocities,Mean_Youngs_Modulus_Ksat_Gsat,Variance_Youngs_Modulus_Ksat_Gsat,Mean_Poisson_Ratio_Velocities,Variance_Poisson_Ratio_Velocities,Mean_Poisson_Ratio_Ksat_Gsat,Variance_Poisson_Ratio_Ksat_Gsat,Mean_Brittleness_Index,Variance_Brittleness_Index,X,Y
1,6.0732659975575,0.057774078151710866,7.393916150114687,19.886478227234754,0.36080702293787387,0.00034589664985150355,0.3550780100634847,0.0005634026844271187,0.3166591693599352,0.014503509224167006,33,127
2,5.905293310044185,0.021051464857784568,5.885403708378829,11.993403422089505,0.3537556678374634,0.0004112340925983971,0.3526847504388179,0.0003894538408497624,0.2957608781319692,0.016578046574619833,71,53
3,5.829403803650683,0.00319824676055618,4.191811109196709,0.2508172486305884,0.3665788128300875,0.00012008362845321074,0.3667819102828625,0.00011236555131484996,0.21713537834645313,0.004232959347945336,58,186
4,6.31362150697846,0.34802530555163297,7.477306198242965,15.06073567787054,0.3685581444354177,0.00031026703048133005,0.3693633518906681,0.0003284555972078293,0.35615086039652377,0.011336890950500549,80,95
5,6.060782567845343,0.08915585189109304,6.498664273750068,11.636994754247654,0.35846200199949646,0.00014709973482909848,0.3595827294512465,0.00015048583256228244,0.32184140217852586,0.017446215001084453,26,141
6,5.791848584646499,0.0025738654275477835,4.025356508659815,0.038601245671601545,0.36729514706635014,3.279598236467613e-06,0.36731467516265753,4.013279596770346e-06,0.20423022548366873,0.00036620702251717135,64,30
7,5.857385634389465,0.009381798427267678,4.340108339539277,0.3302289900329319,0.3689034500111341,4.7127531116402206e-05,0.3680285286996494,4.2949207670926976e-05,0.21373929174585105,0.003020467866514211,43,174
8,6.301237018818108,0.3566534888234795,7.435457322395118,15.605526631490035,0.3723214369021114,0.00029787686847849304,0.37530730862103223,0.00031117670688808656,0.333726112708007,0.011828756380878427,82,66
9,6.106121956176187,0.06769832634341932,6.091940480907445,6.1409905553240485,0.3598560217758073,4.829048648427546e-05,0.35909818802054333,8.836680632658365e-05,0.3286347747233851,0.006048368580479468,55,111
10,5.89621522928493,0.05107594325182601,6.197064821790026,22.177165267852267,0.36882532598757534,0.00031234260340584646,0.3634719055578606,0.000504684043668828,0.23508273241126065,0.021398053279188013,21,188
11,5.9416601213199565,0.21150125525249505,5.351271651374372,9.028826931607785,0.3667481460720281,0.00013229706525949973,0.36959482512178155,0.0002129798900688032,0.2523456161292467,0.01019271428004147,77,20
12,5.956192306842832,0.06704471268916075,4.89470660646071,3.768910643385623,0.3629150764964657,4.322054588690369e-05,0.36305078585620726,4.3637752753898035e-05,0.27216275209005325,0.010326043147408731,40,162
