Well_ID,Mean_Facies,Variance_Facies,X,Y,Percentage_Facies_3_or_Less
1,2.473684210526316,0.5964912280701756,33,127,84.21052631578947
2,2.1052631578947367,0.0994152046783625,71,53,100.0
3,2.0,0.0,58,186,100.0
4,3.1052631578947367,3.210526315789475,80,95,73.68421052631578
5,2.3529411764705883,0.3676470588235295,26,141,94.11764705882352
6,2.0,0.0,64,30,100.0
7,2.0,0.0,43,174,100.0
8,3.4210526315789473,3.7017543859649127,82,66,63.1578947368421
9,2.380952380952381,0.4476190476190478,55,111,90.47619047619048
10,2.1666666666666665,0.14705882352941171,21,188,100.0
11,2.4210526315789473,1.5906432748537995,77,20,89.47368421052632
12,2.111111111111111,0.10457516339869286,40,162,100.0
13,2.4444444444444446,0.49673202614379075,68,87,88.88888888888889
14,2.1578947368421053,0.14035087719298242,52,133,100.0
15,3.380952380952381,3.347619047619048,84,58,61.904761904761905
16,2.7,0.7473684210526316,30,100,75.0
17,2.2666666666666666,1.066666666666667,75,146,93.33333333333333
18,2.1052631578947367,0.0994152046783625,47,25,100.0
19,2.0,0.0,63,170,100.0
20,2.5,0.5789473684210527,24,73,85.0
21,2.0,0.0,70,192,100.0
22,2.1,0.09473684210526315,57,43,100.0
23,2.7058823529411766,1.720588235294118,81,155,76.47058823529412
24,2.5,0.5789473684210527,36,118,85.0
25,2.45,0.4710526315789477,59,97,90.0
26,2.15,0.13421052631578947,28,166,100.0
27,2.0,0.0,73,32,100.0
28,2.0,0.0,50,180,100.0
29,2.1578947368421053,0.14035087719298242,67,62,100.0
30,2.3333333333333335,0.35294117647058854,39,139,94.44444444444444
31,2.65,2.134210526315789,78,83,85.0
32,2.0526315789473686,0.052631578947368376,45,158,100.0
33,2.142857142857143,0.1285714285714284,56,51,100.0
34,2.65,0.6605263157894736,22,121,80.0
35,2.4285714285714284,0.457142857142857,65,89,90.47619047619048
36,3.111111111111111,2.1045751633986924,83,173,61.111111111111114
37,2.0555555555555554,0.055555555555555594,48,35,100.0
38,2.0,0.0,72,148,100.0
39,2.5,0.5,34,64,88.88888888888889
40,2.0,0.0,60,185,100.0
41,2.55,1.5236842105263149,76,110,90.0
42,2.2,0.16842105263157892,27,154,100.0
43,2.0952380952380953,0.0904761904761904,54,40,100.0
44,2.6,1.51578947368421,79,168,80.0
45,2.5789473684210527,0.5906432748538009,42,96,84.21052631578947
46,2.0714285714285716,0.07142857142857147,69,131,100.0
47,2.1052631578947367,0.0994152046783625,32,181,100.0
48,2.2857142857142856,0.31428571428571445,66,72,95.23809523809523
49,3.142857142857143,4.628571428571426,175,27,47.61904761904761
50,3.5,3.9473684210526314,192,145,35.0
51,2.0526315789473686,4.385964912280702,181,86,78.94736842105263
52,4.05,1.7342105263157892,197,190,35.0
53,3.7142857142857144,3.6142857142857148,170,62,33.33333333333333
54,2.25,5.0,188,120,75.0
55,4.523809523809524,1.861904761904762,100,77,19.047619047619047
56,3.55,1.5236842105263162,131,165,45.0
57,4.473684210526316,1.2631578947368423,117,103,26.31578947368421
58,4.052631578947368,1.6081871345029244,148,136,31.57894736842105
59,4.222222222222222,2.4183006535947715,95,68,27.77777777777778
60,3.6,1.51578947368421,141,157,50.0
61,4.380952380952381,1.4476190476190476,124,120,28.57142857142857
62,4.555555555555555,1.3202614379084974,109,91,22.22222222222222
63,3.789473684210526,1.2865497076023393,154,178,42.10526315789473
64,4.0,1.6,106,140,38.095238095238095
65,4.45,1.418421052631579,137,83,25.0
66,3.4210526315789473,1.2573099415204678,119,171,52.63157894736842
67,4.555555555555555,2.379084967320262,97,114,22.22222222222222
68,4.294117647058823,1.7205882352941175,145,97,29.411764705882355
69,4.333333333333333,1.5294117647058822,112,62,22.22222222222222
70,3.65,1.2921052631578949,129,150,45.0
71,3.619047619047619,1.447619047619048,151,166,47.61904761904761
